rows,title,category,core_citation_index,impact_factor_jif,impact_factor_5y,best_ranking,open_access,publisher_journalid,status,issn_jid,eissn_jid,issn,p_issn,e_issn,language,sjr,journal_quartile,h_index,impact_score,publisher,country,publication_area,review_process,publication_time,apc,apc_amount,waiver_policy,website
8,Journal of the Pakistan Institute of Chemical Engineers,"ENGINEERING, CHEMICAL",ESCI - Emerging Sources Citation Index,0,0,"ENGINEERING, CHEMICAL (Q4) ― Percentage rank: 1.2% ",Subscription,N/A,Active,1813-4092,1813-4092,, P-ISSN:  1813-4092, E-ISSN:  1813-4092, Language: English,,,,, Publisher: PAKISTAN INST CHEMICAL ENGINEERS," Country of Publisher: UNIT NO 4, 1ST FL, GREEN WOOD MARKET, 4-CIVIC CENTRE, BARKAT MARKET, LAHORE, PAKISTAN, 00000"," Scope: Engineering, Chemical",,,,,,
8,Annals of King Edward Medical University Lahore Pakistan,"MEDICINE, GENERAL & INTERNAL",ESCI - Emerging Sources Citation Index,0.1,0.1,"MEDICINE, GENERAL & INTERNAL (Q4) ― Percentage rank: 7.7% ",Subscription,N/A,Active,2079-7192,2079-0694,, P-ISSN:  2079-7192, E-ISSN:  2079-0694, Language: English,,,,, Publisher: RESEARCH & MEDICAL EDUCATION CENTRE," Country of Publisher: KING EDWARD MEDICAL COLLEGE, NILA GUMBAD, LAHORE, PAKISTAN, 00000"," Scope: Medicine, General & Internal",,,,,,
9,Journal of the Liaquat University of Medical and Health Sciences,HEALTH CARE SCIENCES & SERVICES,ESCI - Emerging Sources Citation Index,0.1,0.2,HEALTH CARE SCIENCES & SERVICES (Q4) ― Percentage rank: 0.59999999999999% ,Hybrid and Open Access Support,N/A,Active,1729-0341,1729-0341, ISSN:  17290341,,,, SJR:  0.119, Journal Quartile: Q4, H-index: 13, Impact Score: 0.12, Publisher: Liaquat University of Medical and Health Sciences, Country: Pakistan, Area of Publication: Medicine (miscellaneous) (Q4),,,,,,
9,PAKISTAN JOURNAL OF BOTANY,PLANT SCIENCES,SCIE - Science Citation Index Expanded,0.9,1,PLANT SCIENCES (Q4) ― Percentage rank: 21.9% ,Subscription,N/A,Active,0556-3321,2070-3368, ISSN:  5563321,,,, SJR:  0.301, Journal Quartile: Q3, H-index: 67, Impact Score: 1.28, Publisher: Pakistan Botanical Society, Country: Pakistan, Area of Publication: Plant Science (Q3),,,,,,
9,Journal of Himalayan Earth Sciences,GEOLOGY,ESCI - Emerging Sources Citation Index,0.2,0.7,GEOLOGY (Q4) ― Percentage rank: 5% ,Subscription,N/A,Active,1994-3237,2305-6959," ISSN:  23056959, 19943237",,,, SJR:  0.156, Journal Quartile: Q4, H-index: 10, Impact Score: 0.36," Publisher: National Centre of Excellence in Geology, University of Peshawar", Country: Pakistan, Area of Publication: Earth and Planetary Sciences (miscellaneous) (Q4),,,,,,
12,PAKISTAN VETERINARY JOURNAL,VETERINARY SCIENCES,SCIE - Science Citation Index Expanded,3.8,2.2,VETERINARY SCIENCES (Q1) ― Percentage rank: 94.6% ,"Fully Open Access ― It may take a publication fee. For more info, check it on DOAJ.ORG",N/A,Active,0253-8318,2074-7764,, P-ISSN:  0253-8318, E-ISSN:  2074-7764, Language: English,,,,," Publisher: University of Agriculture, Faisalabad",, Area of Publication: Agriculture: Animal culture: Veterinary medicine, Review Process: Double anonymous peer review, Publication Time (weeks): 10, APC: Yes, APC Amount: 15000 PKR; 300 USD, Waiver Policy: No, Journal official Website: http://www.pvj.com.pk
error_tr_rows,Anaesthesia Pain and Intensive Care,ANESTHESIOLOGY,ESCI - Emerging Sources Citation Index,0.2,0.3,ANESTHESIOLOGY (Q4) ― Percentage rank: 14.1% ,Hybrid and Open Access Support,N/A,Active,1607-8322,2220-5799,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False,error_False
9,Pakistan Journal of Analytical and Environmental Chemistry,"CHEMISTRY, ANALYTICAL",ESCI - Emerging Sources Citation Index,0.4,0.5,"CHEMISTRY, ANALYTICAL (Q4) ― Percentage rank: 3.8% ","Fully Open Access ― It may take a publication fee. For more info, check it on DOAJ.ORG",N/A,Active,1996-918X,2221-5255," ISSN:  1996918X, 22215255",,,, SJR:  0.162, Journal Quartile: Q4, H-index: 6, Impact Score: 0.55, Publisher: University of Sindh, Country: Pakistan, Area of Publication: Analytical Chemistry (Q4); Environmental Chemistry (Q4),,,,,,
9,JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,"CHEMISTRY, MULTIDISCIPLINARY",SCIE - Science Citation Index Expanded,0.6,0.5,"CHEMISTRY, MULTIDISCIPLINARY (Q4) ― Percentage rank: 13.5% ",Subscription,N/A,Active,0253-5106,0253-5106, ISSN:  2535106,,,, SJR:  0.168, Journal Quartile: Q4, H-index: 28, Impact Score: 0.74, Publisher: Chemical Society of Pakistan, Country: Pakistan, Area of Publication: Chemistry (miscellaneous) (Q4),,,,,,
12,Advancements in Life Sciences,BIOLOGY,ESCI - Emerging Sources Citation Index,0.9,0.8,BIOLOGY (Q3) ― Percentage rank: 25.7% ,Subscription,N/A,Active,2310-5380,2310-5380,, P-ISSN:  , E-ISSN:  2310-5380, Language: English,,,,, Publisher: The Running Line,, Area of Publication: Agriculture: Animal culture: Veterinary medicine | Science: Biology (General), Review Process: Double anonymous peer review, Publication Time (weeks): 11, APC: Yes, APC Amount: 450 USD, Waiver Policy: Yes, Journal official Website: https://www.als-journal.com
